_content_cmd,_content_data_fans_club,_content_data_red_notice,_content_data_fans,_content_data_roomid,_msg_type,
ROOM_REAL_TIME_MESSAGE_UPDATE,11375,-1,1959773,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11375,-1,1959650,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11375,-1,1959526,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11376,-1,1959436,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11376,-1,1959327,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11377,-1,1959225,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11377,-1,1959126,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11377,-1,1959021,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11378,-1,1958921,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11379,-1,1958818,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11379,-1,1958716,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11379,-1,1958633,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11379,-1,1958519,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11381,-1,1958437,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11381,-1,1958326,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11381,-1,1958221,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11382,-1,1958128,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11382,-1,1958049,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11382,-1,1957967,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11382,-1,1957863,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11382,-1,1957767,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11382,-1,1957683,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11382,-1,1957609,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11382,-1,1957517,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11385,-1,1957411,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11385,-1,1957346,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11386,-1,1957266,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11386,-1,1957199,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11386,-1,1957132,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11386,-1,1957057,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11386,-1,1956990,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11387,-1,1956930,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11389,-1,1956846,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11390,-1,1956769,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11390,-1,1956710,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11390,-1,1956626,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11390,-1,1956572,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11390,-1,1956494,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11390,-1,1956431,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11390,-1,1956347,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11390,-1,1956284,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11390,-1,1956220,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11390,-1,1956158,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11390,-1,1956088,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11391,-1,1956027,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11391,-1,1955970,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11391,-1,1955904,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11391,-1,1955845,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11392,-1,1955770,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11392,-1,1955703,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11392,-1,1955647,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11394,-1,1955574,545342,other,
ROOM_REAL_TIME_MESSAGE_UPDATE,11394,-1,1955526,545342,other,
