_content_cmd,_content_data_uname,_content_data_uid,_content_data_total_num,_content_data_send_master,_content_data_ruid,_content_data_r_uname,_content_data_name_color,_content_data_medal_info_anchor_roomid,_content_data_medal_info_anchor_uname,_content_data_medal_info_guard_level,_content_data_medal_info_icon_id,_content_data_medal_info_is_lighted,_content_data_medal_info_medal_color,_content_data_medal_info_medal_color_border,_content_data_medal_info_medal_color_end,_content_data_medal_info_medal_color_start,_content_data_medal_info_medal_level,_content_data_medal_info_medal_name,_content_data_medal_info_special,_content_data_medal_info_target_id,_content_data_is_show,_content_data_gift_num,_content_data_gift_name,_content_data_gift_id,_content_data_dmscore,_content_data_combo_total_coin,_content_data_combo_num,_content_data_combo_id,_content_data_batch_combo_num,_content_data_batch_combo_id,_content_data_action,_msg_type,
COMBO_SEND,现在注册不用答题了吗,20414416,4,None,23920239,小米公司,,0,,0,0,1,6067854,6067854,6067854,6067854,1,米粉,,23920239,1,0,牛哇牛哇,31039,32,400,4,gift:combo_id:20414416:23920239:31039:1640697347.2636,4,batch:gift:combo_id:20414416:23920239:31039:1640697347.2645,投喂,other,
COMBO_SEND,水野纯爱,588133990,4,None,23920239,小米公司,,0,,0,0,0,6067854,12632256,12632256,12632256,2,恋乃病,,1900434152,1,1,铃铛,31175,16,4000,4,gift:combo_id:588133990:23920239:31175:1640697347.9980,4,batch:gift:combo_id:588133990:23920239:31175:1640697347.9989,投喂,other,
COMBO_SEND,人家才不会轻易地狗带,19127568,1,None,23920239,小米公司,,0,,0,0,0,9272486,12632256,12632256,12632256,10,邪王,,342241,1,0,小心心,30607,48,0,1,gift:combo_id:19127568:23920239:30607:1640697358.1048,1,batch:gift:combo_id:19127568:23920239:30607:1640697358.1055,投喂,other,
COMBO_SEND,恰了糖的薮薮,23021291,24,None,23920239,小米公司,,0,,0,0,0,398668,12632256,12632256,12632256,25,不呆喵,,368097,1,0,小心心,30607,64,0,24,gift:combo_id:23021291:23920239:30607:1640697364.0774,24,batch:gift:combo_id:23021291:23920239:30607:1640697364.0783,投喂,other,
COMBO_SEND,凌尘TIS,442159730,1,None,23920239,小米公司,,0,,0,0,1,6067854,6067854,6067854,6067854,4,米粉,,23920239,1,0,小心心,30607,32,0,1,gift:combo_id:442159730:23920239:30607:1640697367.1547,1,batch:gift:combo_id:442159730:23920239:30607:1640697367.1559,投喂,other,
COMBO_SEND,暗区浪人,322189780,8,None,23920239,小米公司,,0,,0,0,1,6067854,6067854,6067854,6067854,3,米粉,,23920239,1,0,小心心,30607,32,0,8,gift:combo_id:322189780:23920239:30607:1640697368.2081,8,batch:gift:combo_id:322189780:23920239:30607:1640697368.2089,投喂,other,
COMBO_SEND,油尖旺十三,24565210,5,None,23920239,小米公司,,0,,0,0,1,6067854,6067854,6067854,6067854,1,米粉,,23920239,1,0,小心心,30607,32,0,5,gift:combo_id:24565210:23920239:30607:1640697375.1873,5,batch:gift:combo_id:24565210:23920239:30607:1640697375.1907,投喂,other,
COMBO_SEND,松江花上,9407204,3,None,23920239,小米公司,,0,,0,0,1,6067854,6067854,6067854,6067854,2,米粉,,23920239,1,0,小心心,30607,32,0,3,gift:combo_id:9407204:23920239:30607:1640697379.8034,3,batch:gift:combo_id:9407204:23920239:30607:1640697379.8044,投喂,other,
COMBO_SEND,Bomei,6145479,5,None,23920239,小米公司,,0,,0,0,1,6067854,6067854,6067854,6067854,1,米粉,,23920239,1,0,牛哇牛哇,31039,32,500,5,gift:combo_id:6145479:23920239:31039:1640697380.8346,5,batch:gift:combo_id:6145479:23920239:31039:1640697380.8355,投喂,other,
COMBO_SEND,月初庐梦,157754276,3,None,23920239,小米公司,,0,,0,0,1,12478086,12478086,12478086,12478086,15,郁盐家,,420182,1,0,粉丝团灯牌,31164,64,300,3,gift:combo_id:157754276:23920239:31164:1640697382.0464,3,batch:gift:combo_id:157754276:23920239:31164:1640697382.0472,投喂,other,
COMBO_SEND,夏灰sama,25436645,25,None,23920239,小米公司,,0,,0,0,1,6067854,6067854,6067854,6067854,2,狙饲料,,187688580,1,0,小心心,30607,16,0,25,gift:combo_id:25436645:23920239:30607:1640697376.8592,25,batch:gift:combo_id:25436645:23920239:30607:1640697376.8603,投喂,other,
COMBO_SEND,Y浮梦Y,293642465,2,None,23920239,小米公司,,0,,0,0,1,6067854,6067854,6067854,6067854,1,米粉,,23920239,1,0,心动卡,30869,32,200,2,gift:combo_id:293642465:23920239:30869:1640697392.9365,2,batch:gift:combo_id:293642465:23920239:30869:1640697392.9374,投喂,other,
COMBO_SEND,米你们很好奇,52993829,8,None,23920239,小米公司,,0,,0,0,0,6067854,12632256,12632256,12632256,3,观鸮人,,1287031552,1,0,粉丝团灯牌,31164,80,800,8,gift:combo_id:52993829:23920239:31164:1640697393.7542,8,batch:gift:combo_id:52993829:23920239:31164:1640697393.7553,投喂,other,
COMBO_SEND,其实我不喜欢吃酸菜鱼,32672691,4,None,23920239,小米公司,,0,,0,0,0,9272486,12632256,12632256,12632256,10,开心屋,,55354207,1,0,粉丝团灯牌,31164,48,400,4,gift:combo_id:32672691:23920239:31164:1640697396.7251,4,batch:gift:combo_id:32672691:23920239:31164:1640697396.7276,投喂,other,
COMBO_SEND,凌云依,3808082,9,None,23920239,小米公司,,0,,0,0,0,6067854,12632256,12632256,12632256,3,汤云云,,2145796170,1,0,心动卡,30869,16,900,9,gift:combo_id:3808082:23920239:30869:1640697397.4901,9,batch:gift:combo_id:3808082:23920239:30869:1640697397.4911,投喂,other,
COMBO_SEND,你的那抹微笑,18362294,4,None,23920239,小米公司,,0,,0,0,0,6126494,12632256,12632256,12632256,7,鹿子,,26541399,1,0,心动卡,30869,24,400,4,gift:combo_id:18362294:23920239:30869:1640697403.7593,4,batch:gift:combo_id:18362294:23920239:30869:1640697403.7602,投喂,other,
COMBO_SEND,fnk1,299902391,5,None,23920239,小米公司,,0,,0,0,1,6067854,6067854,6067854,6067854,1,米粉,,23920239,1,0,粉丝团灯牌,31164,32,500,5,gift:combo_id:299902391:23920239:31164:1640697407.5485,5,batch:gift:combo_id:299902391:23920239:31164:1640697407.5496,投喂,other,
COMBO_SEND,我若为你折了腰,86512246,9,None,23920239,小米公司,,0,,0,0,1,6067854,6067854,6067854,6067854,2,米粉,,23920239,1,0,粉丝团灯牌,31164,32,900,9,gift:combo_id:86512246:23920239:31164:1640697412.1741,9,batch:gift:combo_id:86512246:23920239:31164:1640697412.1753,投喂,other,
COMBO_SEND,Bowen丨,269487032,3,None,23920239,小米公司,,0,,0,0,0,0,0,0,0,0,,,0,1,1,这个好诶,30758,8,3000,3,gift:combo_id:269487032:23920239:30758:1640697414.2045,3,batch:gift:combo_id:269487032:23920239:30758:1640697414.2088,投喂,other,
COMBO_SEND,汝之貌破矣见者呕之,471053733,10,None,23920239,小米公司,,0,,0,0,0,6067854,12632256,12632256,12632256,1,诺星神,,628264879,1,0,粉丝团灯牌,31164,16,1000,10,gift:combo_id:471053733:23920239:31164:1640697419.9746,10,batch:gift:combo_id:471053733:23920239:31164:1640697419.9754,投喂,other,
COMBO_SEND,月初庐梦,157754276,2,None,23920239,小米公司,,0,,0,0,1,12478086,12478086,12478086,12478086,15,郁盐家,,420182,1,0,粉丝团灯牌,31164,64,200,2,gift:combo_id:157754276:23920239:31164:1640697419.2491,2,batch:gift:combo_id:157754276:23920239:31164:1640697419.2506,投喂,other,
